"year","month","auc","date"
2022,2,1,2022-02-01
2022,3,0.999462076385153,2022-03-01
2022,4,0.999448529411765,2022-04-01
2022,5,0.999989518588783,2022-05-01
2022,6,0.999429525238226,2022-06-01
2022,7,0.999110608866706,2022-07-01
2022,8,0.999171998494543,2022-08-01
2022,9,0.998944465252477,2022-09-01
2022,10,0.999180955296999,2022-10-01
2022,11,0.998933274479512,2022-11-01
2022,12,0.999285703978412,2022-12-01
2023,1,0.999762523667405,2023-01-01
2023,2,0.999569614805251,2023-02-01
2023,3,0.999731735670214,2023-03-01
2023,4,0.999184181100386,2023-04-01
2023,5,0.998741147276712,2023-05-01
2023,6,0.999646900786797,2023-06-01
2023,7,0.999888703394546,2023-07-01
2023,8,0.99931267234638,2023-08-01
2023,9,0.999611521852918,2023-09-01
2023,10,0.999574504297507,2023-10-01
2023,11,0.999412446849633,2023-11-01
2023,12,0.999410077631273,2023-12-01
2024,1,0.999545819565303,2024-01-01
2024,2,0.999146202925059,2024-02-01
2024,3,0.999253650328394,2024-03-01
2024,4,0.999001726121979,2024-04-01
2024,5,0.999843181722227,2024-05-01
2024,6,0.999216654333549,2024-06-01
2024,7,0.999210023728225,2024-07-01
2024,8,0.999039965865453,2024-08-01
2024,9,0.999483080838204,2024-09-01
2024,10,0.999430102248808,2024-10-01
2024,11,0.99919252246894,2024-11-01
