"year","month","auc","date"
2022,2,1,2022-02-01
2022,3,0.9997668997669,2022-03-01
2022,4,0.999645483193277,2022-04-01
2022,5,1,2022-05-01
2022,6,0.999619683492151,2022-06-01
2022,7,0.999832585198439,2022-07-01
2022,8,0.999451583418463,2022-08-01
2022,9,0.999157274677381,2022-09-01
2022,10,0.999418248622168,2022-10-01
2022,11,0.999323181049069,2022-11-01
2022,12,0.999725825769492,2022-12-01
2023,1,0.999871634414813,2023-01-01
2023,2,0.99957527776834,2023-02-01
2023,3,0.999695967092909,2023-03-01
2023,4,0.999366741973027,2023-04-01
2023,5,0.998944918400985,2023-05-01
2023,6,0.99979274611399,2023-06-01
2023,7,0.99992000556483,2023-07-01
2023,8,0.999349713956456,2023-08-01
2023,9,0.999562450929076,2023-09-01
2023,10,0.999756859598575,2023-10-01
2023,11,0.999764205643603,2023-11-01
2023,12,0.999441456480674,2023-12-01
2024,1,0.999690630718395,2024-01-01
2024,2,0.999507012567607,2024-02-01
2024,3,0.999545405200022,2024-03-01
2024,4,0.999099539700806,2024-04-01
2024,5,0.999791914208339,2024-05-01
2024,6,0.999309152714827,2024-06-01
2024,7,0.999435731234446,2024-07-01
2024,8,0.999073152230598,2024-08-01
2024,9,0.999617281005209,2024-09-01
2024,10,0.99930946695841,2024-10-01
2024,11,0.999365995902723,2024-11-01
